Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Z Position	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Group Z Position	Group Sigma Z	42 Group Coherence	XY Ellipticity	Unwrapped Z	Unwrapped Z Error	XY Group Ellipticity	Unwrapped Group Z	Unwrapped Group Z Error
 3.71288E+002	 1.82661E+003	 1.63376E+002	 2.46675E+002	 1.49234E+000	 1.41924E+000	 2.35900E+004	 4.71771E+003	 1.00000E+000	 1.70000E+001	 2.00000E+000	 1.75100E+003	 2.11799E+000	 4.27389E+001	 9.71638E-003	 9.24044E-003	 5.94251E-002	 5.38295E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 1.00000E+000	 0.00000E+000	 7.20339E+002	 8.08782E+002	 3.59628E+002	 1.00000E+002	 5.74899E+000	 3.14323E-002	 0.00000E+000	 2.81167E+002	 4.49411E+000	 4.18103E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.84598E+002	 6.24381E-001	 4.63757E-001	 2.53034E-002	-1.00333E+001	-6.21225E+001	 2.65693E-002	-6.60175E+000	-6.10733E+001
 3.94575E+002	 1.78388E+003	 1.63198E+002	 2.46659E+002	 1.35654E+000	 1.39460E+000	 2.07640E+004	 4.85687E+003	 1.00000E+000	 1.80000E+001	 2.00000E+000	 1.85800E+003	 1.89184E+000	 4.22360E+001	 9.41407E-003	 9.67821E-003	 5.32560E-002	 5.62339E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 2.00000E+000	 0.00000E+000	 6.44341E+002	 7.92159E+002	 3.73531E+002	 1.00000E+002	 5.52136E+000	 3.22918E-002	 0.00000E+000	 2.70389E+002	 4.78695E+000	 4.18385E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.84641E+002	 6.24381E-001	 4.63757E-001	-1.36465E-002	-2.08107E+001	 1.54298E-001	 2.65747E-002	-6.55887E+000	-6.10749E+001
 3.71667E+002	 1.84964E+003	 1.63248E+002	 2.46702E+002	 1.53871E+000	 1.45320E+000	 2.50240E+004	 6.08565E+003	 1.00000E+000	 2.00000E+001	 2.00000E+000	 2.07900E+003	 2.23606E+000	 4.30074E+001	 9.72697E-003	 9.18646E-003	 5.72843E-002	 5.11926E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 3.00000E+000	 0.00000E+000	 8.07223E+002	 8.06643E+002	 2.81177E+002	 1.00000E+002	 5.73314E+000	 2.57383E-002	 0.00000E+000	 6.02343E+000	 3.45675E+000	 5.27770E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.84848E+002	 6.24381E-001	 4.63757E-001	 2.88086E-002	 6.02343E+000	-5.26844E+001	 2.66031E-002	-6.35236E+000	-6.09074E+001
 3.70032E+002	 2.00467E+003	 1.63106E+002	 2.46686E+002	 1.49606E+000	 1.46899E+000	 2.66620E+004	 6.85364E+003	 1.00000E+000	 2.10000E+001	 1.00000E+000	 2.18500E+003	 2.19769E+000	 4.47735E+001	 9.16227E-003	 8.99645E-003	 6.16480E-002	 5.94636E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 4.00000E+000	 0.00000E+000	 7.99093E+002	 8.36600E+002	 3.85948E+002	 1.00000E+002	 6.15532E+000	 3.42834E-002	 0.00000E+000	 2.87447E+002	 4.55171E+000	 3.88302E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.84945E+002	 6.24381E-001	 4.63757E-001	 9.37575E-003	-3.75281E+000	-2.59746E+001	 2.66156E-002	-6.25543E+000	-6.08618E+001
 3.77639E+002	 1.98399E+003	 1.63222E+002	 2.46698E+002	 1.43039E+000	 1.48077E+000	 2.55850E+004	 6.45103E+003	 1.00000E+000	 2.20000E+001	 1.00000E+000	 2.30400E+003	 2.11808E+000	 4.45420E+001	 8.94253E-003	 9.25755E-003	 5.80248E-002	 6.21305E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 5.00000E+000	 0.00000E+000	 6.71762E+002	 8.39033E+002	 4.80371E+002	 1.00000E+002	 6.10617E+000	 3.51879E-002	 0.00000E+000	 2.57183E+002	 5.17111E+000	 3.48911E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.85025E+002	 6.24381E-001	 4.63757E-001	-1.70709E-002	-3.40168E+001	-6.61399E+000	 2.66241E-002	-6.17514E+000	-6.07749E+001
 3.80895E+002	 1.74186E+003	 1.63200E+002	 2.46615E+002	 1.45951E+000	 1.44585E+000	 2.23970E+004	 6.87048E+003	 1.00000E+000	 2.30000E+001	 2.00000E+000	 2.41200E+003	 2.11023E+000	 4.17356E+001	 9.75242E-003	 9.66115E-003	 6.40557E-002	 6.28776E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 6.00000E+000	 0.00000E+000	 6.73418E+002	 7.79255E+002	 3.40887E+002	 1.00000E+002	 5.45845E+000	 5.37473E-002	 0.00000E+000	 2.79441E+002	 4.45118E+000	 4.33233E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.85130E+002	 6.24381E-001	 4.63757E-001	 4.96941E-003	-1.17592E+001	-2.57096E+001	 2.66396E-002	-6.06952E+000	-6.07131E+001
 3.58572E+002	 1.54492E+003	 1.63103E+002	 2.46588E+002	 1.38531E+000	 1.35537E+000	 1.77560E+004	 3.74790E+003	 1.00000E+000	 2.40000E+001	 4.00000E+000	 2.52600E+003	 1.87760E+000	 3.93055E+001	 1.03962E-002	 1.01715E-002	 7.41817E-002	 7.10443E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 7.00000E+000	 0.00000E+000	 6.40585E+002	 7.13613E+002	 2.47539E+002	 1.00000E+002	 4.84866E+000	 3.91498E-002	 0.00000E+000	 2.88766E+002	 4.04592E+000	 5.35305E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.85221E+002	 6.24381E-001	 4.63757E-001	 1.12032E-002	-2.43414E+000	-2.80972E+001	 2.66504E-002	-5.97864E+000	-6.06637E+001
 3.76426E+002	 1.85800E+003	 1.63191E+002	 2.46667E+002	 1.42903E+000	 1.38497E+000	 2.25320E+004	 5.50766E+003	 1.00000E+000	 2.50000E+001	 2.00000E+000	 2.64500E+003	 1.97915E+000	 4.31045E+001	 9.52007E-003	 9.22655E-003	 5.31058E-002	 4.99389E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 8.00000E+000	 0.00000E+000	 7.35679E+002	 8.32072E+002	 3.14567E+002	 1.00000E+002	 5.70879E+000	 3.49521E-002	 0.00000E+000	 2.85898E+002	 3.86247E+000	 4.97766E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.85349E+002	 6.24381E-001	 4.63757E-001	 1.59559E-002	-5.30154E+000	-3.98579E+001	 2.66700E-002	-5.85089E+000	-6.05467E+001
 3.59128E+002	 1.83312E+003	 1.63315E+002	 2.46699E+002	 1.46923E+000	 1.41431E+000	 2.32590E+004	 5.15750E+003	 1.00000E+000	 2.60000E+001	 3.00000E+000	 2.74200E+003	 2.07794E+000	 4.28149E+001	 9.63372E-003	 9.27360E-003	 5.89420E-002	 5.46814E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 9.00000E+000	 0.00000E+000	 6.75709E+002	 7.93157E+002	 3.81056E+002	 1.00000E+002	 5.64352E+000	 3.33311E-002	 0.00000E+000	 2.74506E+002	 4.81234E+000	 3.93223E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.85448E+002	 6.24381E-001	 4.63757E-001	 1.93566E-002	-1.66938E+001	-5.76105E+001	 2.66822E-002	-5.75153E+000	-6.04436E+001
 3.28585E+002	 1.18825E+003	 1.63329E+002	 2.46777E+002	 1.49492E+000	 1.28883E+000	 1.40360E+004	 2.25930E+003	 1.00000E+000	 2.70000E+001	 3.00000E+001	 2.85500E+003	 1.92670E+000	 3.44711E+001	 1.26182E-002	 1.08786E-002	 6.43407E-002	 4.81718E-002	 5.79000E+002	 1.63247E+002	 2.46676E+002	 9.63366E-003	 9.63366E-003	 9.93346E+005	 6.30000E+001	 1.00000E+001	 0.00000E+000	 5.59987E+002	 4.97566E+002	 1.85309E+002	 1.00000E+002	 3.76196E+000	 3.16163E-002	 0.00000E+000	 1.60993E+001	 4.74895E+000	 5.12946E-001	 5.71513E+002	 6.38224E+002	 2.57904E+002	 2.85584E+002	 6.24381E-001	 4.63757E-001	 7.43585E-002	 1.60993E+001	-1.29351E+002	 2.67045E-002	-5.61597E+000	-6.03375E+001
