Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Unwrapped Z	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Unwrapped Group Z	Group Sigma Z	42 Group Coherence	XY Ellipticity	Z Position	Unwrapped Z Error	XY Group Ellipticity	Group Z Position	Unwrapped Group Z Error
 2.83206E+002	 1.34648E+003	 3.51830E+002	 1.83348E+002	 1.17575E+000	 1.45301E+000	 1.41980E+004	 1.39824E+004	 1.00000E+000	 2.30000E+001	 1.10000E+001	 2.80800E+003	 1.70838E+000	 3.66944E+001	 9.86741E-003	 1.21942E-002	 7.46393E-002	 1.13606E-001	 7.97000E+002	 3.51869E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 1.00000E+000	 0.00000E+000	 3.72820E+002	 3.86799E+002	 3.98144E+002	 1.00000E+002	 1.90451E+000	 2.63905E-001	 0.00000E+000	 2.53688E+002	 5.47454E+000	 3.67917E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09852E+002	 1.42693E+000	 4.17883E-001	-1.05469E-001	 2.53688E+002	 1.45220E+002	-4.90845E-002	 2.09852E+002	 3.22575E+001
 1.92316E+002	 1.21549E+003	 3.51865E+002	 1.83111E+002	 1.37578E+000	 1.54061E+000	 1.55940E+004	 1.56508E+004	 1.00000E+000	 2.70000E+001	 2.60000E+001	 3.31900E+003	 2.11954E+000	 3.48639E+001	 1.10171E-002	 1.23372E-002	 1.03925E-001	 1.30158E-001	 7.97000E+002	 3.51870E+002	 1.83184E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 3.00000E+000	 0.00000E+000	 3.66762E+002	 2.19031E+002	 3.68918E+002	 1.00000E+002	 1.56826E+000	 3.44965E-001	 0.00000E+000	 2.02885E+002	 4.92225E+000	 3.90453E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09512E+002	 1.42693E+000	 4.17883E-001	-5.65208E-002	 2.02885E+002	 3.40520E+001	-4.90845E-002	 2.09512E+002	 3.19330E+001
 2.46372E+002	 1.14907E+003	 3.51753E+002	 1.83298E+002	 1.31783E+000	 1.43718E+000	 1.33820E+004	 9.10698E+003	 1.00000E+000	 2.80000E+001	 2.90000E+001	 3.43700E+003	 1.89396E+000	 3.38980E+001	 1.13920E-002	 1.24237E-002	 8.21523E-002	 9.75406E-002	 7.97000E+002	 3.51870E+002	 1.83184E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 4.00000E+000	 0.00000E+000	 4.68035E+002	 1.56604E+002	 3.25221E+002	 1.00000E+002	 1.53186E+000	 2.24963E-001	 0.00000E+000	 1.61507E+002	 4.29339E+000	 4.83226E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09454E+002	 1.42693E+000	 4.17883E-001	-4.33189E-002	 1.61507E+002	-2.28182E+001	-4.90845E-002	 2.09454E+002	 3.18559E+001
 2.04169E+002	 1.15298E+003	 3.51796E+002	 1.83099E+002	 1.38150E+000	 1.45208E+000	 1.41120E+004	 1.27954E+004	 1.00000E+000	 2.90000E+001	 3.00000E+001	 3.56200E+003	 2.00604E+000	 3.39555E+001	 1.16294E-002	 1.22235E-002	 1.05931E-001	 1.16958E-001	 7.97000E+002	 3.51871E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 5.00000E+000	 0.00000E+000	 3.10249E+002	 1.94794E+002	 3.70325E+002	 1.00000E+002	 1.44981E+000	 3.37833E-001	 0.00000E+000	 2.08081E+002	 3.93226E+000	 5.13778E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09391E+002	 1.42693E+000	 4.17883E-001	-2.49067E-002	 2.08081E+002	 2.53875E+000	-4.90845E-002	 2.09391E+002	 3.18066E+001
 2.27014E+002	 1.00886E+003	 3.51838E+002	 1.83154E+002	 1.34279E+000	 1.42038E+000	 1.17990E+004	 1.16792E+004	 1.00000E+000	 3.00000E+001	 5.40000E+001	 3.70400E+003	 1.90726E+000	 3.17625E+001	 1.23619E-002	 1.30762E-002	 1.06727E-001	 1.19324E-001	 7.97000E+002	 3.51871E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 6.00000E+000	 0.00000E+000	 3.35294E+002	 2.70986E+002	 3.46075E+002	 1.00000E+002	 1.56532E+000	 3.77875E-001	 0.00000E+000	 2.28569E+002	 6.87441E+000	 3.21405E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09311E+002	 1.42693E+000	 4.17883E-001	-2.80798E-002	 2.28569E+002	 2.66641E+001	-4.90845E-002	 2.09311E+002	 3.17273E+001
 2.30859E+002	 1.19060E+003	 3.51835E+002	 1.83262E+002	 1.37451E+000	 1.52418E+000	 1.51690E+004	 9.45949E+003	 1.00000E+000	 3.10000E+001	 1.80000E+001	 3.78700E+003	 2.09501E+000	 3.45051E+001	 1.11602E-002	 1.23754E-002	 8.20993E-002	 1.00761E-001	 7.97000E+002	 3.51871E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 7.00000E+000	 0.00000E+000	 4.15857E+002	 2.62145E+002	 4.16093E+002	 1.00000E+002	 1.79660E+000	 2.15837E-001	 0.00000E+000	 2.06062E+002	 5.35597E+000	 3.63827E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09242E+002	 1.42693E+000	 4.17883E-001	-5.16322E-002	 2.06062E+002	 3.14601E+001	-4.90845E-002	 2.09242E+002	 3.16524E+001
 2.39354E+002	 1.19566E+003	 3.51878E+002	 1.83233E+002	 1.35742E+000	 1.47715E+000	 1.46370E+004	 9.88156E+003	 1.00000E+000	 3.20000E+001	 2.10000E+001	 3.89500E+003	 2.00512E+000	 3.45783E+001	 1.12199E-002	 1.22095E-002	 8.81572E-002	 1.04250E-001	 7.97000E+002	 3.51871E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 8.00000E+000	 0.00000E+000	 3.69578E+002	 2.12081E+002	 4.21078E+002	 1.00000E+002	 1.65742E+000	 2.48367E-001	 0.00000E+000	 2.03180E+002	 3.88992E+000	 5.09969E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09198E+002	 1.42693E+000	 4.17883E-001	-4.22383E-002	 2.03180E+002	 1.76130E+001	-4.90845E-002	 2.09198E+002	 3.16138E+001
 3.09636E+002	 8.61421E+002	 3.51943E+002	 1.83112E+002	 1.20983E+000	 1.45217E+000	 9.24300E+003	 4.48213E+003	 1.00000E+000	 3.30000E+001	 8.50000E+001	 4.07100E+003	 1.75688E+000	 2.93500E+001	 1.25840E-002	 1.51046E-002	 6.70952E-002	 9.60887E-002	 7.97000E+002	 3.51871E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 9.00000E+000	 0.00000E+000	 1.86469E+002	 1.59457E+002	 3.32663E+002	 1.00000E+002	 1.14397E+000	 1.96439E-001	 0.00000E+000	 2.19114E+002	 3.31974E+000	 7.51970E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09134E+002	 1.42693E+000	 4.17883E-001	-9.10344E-002	 2.19114E+002	 9.22545E+001	-4.90845E-002	 2.09134E+002	 3.15612E+001
 2.43208E+002	 9.99056E+002	 3.51999E+002	 1.83120E+002	 1.40443E+000	 1.45145E+000	 1.23700E+004	 8.42037E+003	 1.00000E+000	 3.40000E+001	 6.50000E+001	 4.18500E+003	 2.03847E+000	 3.16079E+001	 1.26275E-002	 1.30502E-002	 1.01610E-001	 1.08469E-001	 7.97000E+002	 3.51872E+002	 1.83183E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 1.00000E+001	 0.00000E+000	 2.96473E+002	 1.71456E+002	 3.58784E+002	 1.00000E+002	 1.37055E+000	 2.99232E-001	 0.00000E+000	 2.04383E+002	 3.87238E+000	 5.57247E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09070E+002	 1.42693E+000	 4.17883E-001	-1.64636E-002	 2.04383E+002	-1.07858E+001	-4.90845E-002	 2.09070E+002	 3.15018E+001
 2.66741E+002	 1.16439E+003	 3.52026E+002	 1.83180E+002	 1.33421E+000	 1.48713E+000	 1.40660E+004	 5.85635E+003	 1.00000E+000	 3.50000E+001	 3.10000E+001	 4.27500E+003	 1.98415E+000	 3.41232E+001	 1.12496E-002	 1.25391E-002	 7.42593E-002	 9.20308E-002	 7.97000E+002	 3.51872E+002	 1.83184E+002	 3.46793E-002	 3.46793E-002	 1.61998E+005	 1.20000E+001	 1.10000E+001	 0.00000E+000	 3.16145E+002	 2.79054E+002	 3.67542E+002	 1.00000E+002	 1.59052E+000	 1.40526E-001	 0.00000E+000	 2.31286E+002	 5.03482E+000	 4.01922E-001	 3.37703E+002	 2.20224E+002	 3.66021E+002	 2.09016E+002	 1.42693E+000	 4.17883E-001	-5.42035E-002	 2.31286E+002	 5.97289E+001	-4.90845E-002	 2.09016E+002	 3.14469E+001
