Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Z Position	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Group Z Position	Group Sigma Z	42 Group Coherence	XY Ellipticity	Unwrapped Z	Unwrapped Z Error	XY Group Ellipticity	Unwrapped Group Z	Unwrapped Group Z Error
 1.94375E+002	 2.47047E+003	 1.57765E+002	 8.33860E+001	 1.34204E+000	 1.85874E+000	 3.61850E+004	 5.68540E+003	 1.00000E+000	 1.60000E+001	 0.00000E+000	 1.63100E+003	 2.49450E+000	 4.97038E+001	 7.05507E-003	 9.77133E-003	 5.68688E-002	 1.08645E-001	 5.39000E+002	 1.57692E+002	 8.33044E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 1.00000E+000	 0.00000E+000	 8.56874E+002	 7.41535E+002	 9.04379E+002	 1.00000E+002	 7.82296E+000	 1.57703E-002	 0.00000E+000	 1.71482E+002	 5.36332E+000	 2.82874E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87162E+002	 2.05272E+000	 2.45038E-001	-1.61273E-001	-4.10918E+002	-1.20335E+002	-1.40442E-001	-1.04038E+002	 1.42449E+002
 1.62691E+002	 2.55791E+003	 1.57723E+002	 8.33370E+001	 1.39287E+000	 1.90465E+000	 3.94580E+004	 8.11134E+003	 1.00000E+000	 1.70000E+001	 0.00000E+000	 1.75000E+003	 2.65293E+000	 5.05758E+001	 7.01200E-003	 9.58845E-003	 6.23205E-002	 1.16154E-001	 5.39000E+002	 1.57692E+002	 8.33044E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 2.00000E+000	 0.00000E+000	 8.61987E+002	 8.33960E+002	 8.98424E+002	 1.00000E+002	 8.08885E+000	 1.64644E-002	 0.00000E+000	 1.86062E+002	 5.63484E+000	 2.57835E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87205E+002	 2.05272E+000	 2.45038E-001	-1.55041E-001	-3.96338E+002	-1.19107E+002	-1.40437E-001	-1.03995E+002	 1.42468E+002
 1.96000E+002	 2.54462E+003	 1.57669E+002	 8.33020E+001	 1.37291E+000	 1.81975E+000	 3.74670E+004	 7.53325E+003	 1.00000E+000	 1.80000E+001	 0.00000E+000	 1.85700E+003	 2.49834E+000	 5.04443E+001	 7.09277E-003	 9.40128E-003	 5.81264E-002	 1.01760E-001	 5.39000E+002	 1.57692E+002	 8.33044E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 3.00000E+000	 0.00000E+000	 9.08419E+002	 8.56575E+002	 8.37369E+002	 1.00000E+002	 8.08457E+000	 2.20010E-002	 0.00000E+000	 1.92867E+002	 8.72595E+000	 1.70865E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87247E+002	 2.05272E+000	 2.45038E-001	-1.39789E-001	-3.89533E+002	-1.44434E+002	-1.40432E-001	-1.03953E+002	 1.42486E+002
 1.91617E+002	 2.47713E+003	 1.57594E+002	 8.32775E+001	 1.38102E+000	 1.74854E+000	 3.55740E+004	 7.53872E+003	 1.00000E+000	 1.90000E+001	 0.00000E+000	 1.96800E+003	 2.41478E+000	 4.97707E+001	 7.32207E-003	 9.27065E-003	 5.58378E-002	 8.91925E-002	 5.39000E+002	 1.57692E+002	 8.33044E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 4.00000E+000	 0.00000E+000	 8.66904E+002	 8.32736E+002	 8.14949E+002	 1.00000E+002	 7.81423E+000	 2.00406E-002	 0.00000E+000	 1.94300E+002	 8.22444E+000	 1.86045E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87380E+002	 2.05272E+000	 2.45038E-001	-1.17240E-001	-9.68999E+001	 1.01943E+002	-1.40413E-001	-1.03820E+002	 1.42561E+002
 2.21950E+002	 2.37104E+003	 1.57724E+002	 8.32467E+001	 1.33555E+000	 1.73334E+000	 3.27410E+004	 7.51694E+003	 1.00000E+000	 2.00000E+001	 0.00000E+000	 2.07800E+003	 2.31496E+000	 4.86933E+001	 7.38098E-003	 9.57938E-003	 5.72950E-002	 9.61484E-002	 5.39000E+002	 1.57692E+002	 8.33045E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 5.00000E+000	 0.00000E+000	 8.19240E+002	 7.98032E+002	 8.01033E+002	 1.00000E+002	 7.52280E+000	 2.84907E-002	 0.00000E+000	 1.92579E+002	 7.47438E+000	 2.13388E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87454E+002	 2.05272E+000	 2.45038E-001	-1.29422E-001	-9.86215E+001	 1.25047E+002	-1.40407E-001	-1.03746E+002	 1.42642E+002
 2.02198E+002	 2.43156E+003	 1.57706E+002	 8.32437E+001	 1.34184E+000	 1.74777E+000	 3.39460E+004	 7.57052E+003	 1.00000E+000	 2.10000E+001	 0.00000E+000	 2.18400E+003	 2.34523E+000	 4.93109E+001	 7.28296E-003	 9.48614E-003	 5.79305E-002	 9.79288E-002	 5.39000E+002	 1.57692E+002	 8.33045E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 6.00000E+000	 0.00000E+000	 8.02809E+002	 7.85120E+002	 8.63572E+002	 1.00000E+002	 7.65001E+000	 2.57378E-002	 0.00000E+000	 1.85815E+002	 5.57834E+000	 2.80797E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87551E+002	 2.05272E+000	 2.45038E-001	-1.31174E-001	-1.05385E+002	 1.21881E+002	-1.40395E-001	-1.03649E+002	 1.42712E+002
 2.04686E+002	 2.46666E+003	 1.57767E+002	 8.32626E+001	 1.31680E+000	 1.75424E+000	 3.39260E+004	 7.85861E+003	 1.00000E+000	 2.20000E+001	 0.00000E+000	 2.30300E+003	 2.30999E+000	 4.96655E+001	 7.14915E-003	 9.52408E-003	 5.61685E-002	 9.92944E-002	 5.39000E+002	 1.57692E+002	 8.33045E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 7.00000E+000	 0.00000E+000	 8.15758E+002	 8.00743E+002	 8.77417E+002	 1.00000E+002	 7.78179E+000	 2.66183E-002	 0.00000E+000	 1.86365E+002	 5.58351E+000	 2.80619E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87631E+002	 2.05272E+000	 2.45038E-001	-1.42225E-001	-1.04835E+002	 1.45358E+002	-1.40388E-001	-1.03569E+002	 1.42790E+002
 1.59809E+002	 2.62207E+003	 1.57627E+002	 8.33702E+001	 1.41191E+000	 1.77702E+000	 3.89510E+004	 1.04767E+004	 1.00000E+000	 2.40000E+001	 0.00000E+000	 2.52200E+003	 2.50900E+000	 5.12062E+001	 7.15400E-003	 9.00393E-003	 5.73894E-002	 9.06201E-002	 5.39000E+002	 1.57692E+002	 8.33045E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 8.00000E+000	 0.00000E+000	 8.91804E+002	 8.95732E+002	 8.84557E+002	 1.00000E+002	 8.31139E+000	 1.99794E-002	 0.00000E+000	 1.96425E+002	 6.45396E+000	 2.26572E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87828E+002	 2.05272E+000	 2.45038E-001	-1.14243E-001	-9.47751E+001	 9.80408E+001	-1.40364E-001	-1.03372E+002	 1.42925E+002
 1.63031E+002	 2.61433E+003	 1.57670E+002	 8.32954E+001	 1.39286E+000	 1.94711E+000	 4.09510E+004	 7.20993E+003	 1.00000E+000	 2.50000E+001	 0.00000E+000	 2.64300E+003	 2.71205E+000	 5.11305E+001	 6.88294E-003	 9.62187E-003	 6.10284E-002	 1.18855E-001	 5.39000E+002	 1.57692E+002	 8.33045E+001	 2.68317E-002	 2.68317E-002	 3.29199E+005	 9.00000E+000	 9.00000E+000	 0.00000E+000	 8.36261E+002	 8.55600E+002	 9.54138E+002	 1.00000E+002	 8.26631E+000	 9.48614E-003	 0.00000E+000	 1.87988E+002	 4.41724E+000	 3.22855E-001	 8.52451E+002	 8.24211E+002	 8.72954E+002	 1.87955E+002	 2.05272E+000	 2.45038E-001	-1.65701E-001	-3.94412E+002	-9.42999E+001	-1.40346E-001	-1.03245E+002	 1.43014E+002
 1.47828E+002	 2.68511E+003	 1.57572E+002	 8.33354E+001	 1.41250E+000	 1.85961E+000	 4.12750E+004	 9.68957E+003	 1.00000E+000	 2.80000E+001	 0.00000E+000	 2.95300E+003	 2.62670E+000	 5.18180E+001	 6.95255E-003	 9.15333E-003	 5.82594E-002	 1.00646E-001	 0.00000E+000	 5.23776E-004	 2.33824E-004	 0.00000E+000	 0.00000E+000	 0.00000E+000	 0.00000E+000	 0.00000E+000	 0.00000E+000	 9.26721E+002	 8.63429E+002	 9.34120E+002	 1.00000E+002	 8.49032E+000	 1.41943E-002	 0.00000E+000	 1.83928E+002	 6.06160E+000	 2.34347E-001	 0.00000E+000	 0.00000E+000	 0.00000E+000	 1.83928E+002	 6.06160E+000	 2.34347E-001	-1.36343E-001	-1.07272E+002	 1.30655E+002	 3.47377E-004	-1.07272E+002	 1.30655E+002
