Offset	Amplitude	X Position	Y Position	X Peak Width	Y Peak Width	6 N Photons	ChiSquared	FitOK	Frame Number	Peak Index of Frame	Peak Global Index	12 X PkW * Y PkW	Sigma Amplitude	Sigma X Pos rtNph	Sigma Y Pos rtNph	Sigma X Pos Full	Sigma Y Pos Full	18 Grouped Index	Group X Position	Group Y Position	Group Sigma X Pos	Group Sigma Y Pos	Group N Photons	24 Group Size	Frame Index in Grp	Label Set	Amplitude L1	Amplitude L2	Amplitude L3	30 FitOK Labels	Zeta0	Sigma Amp L2	Sigma Amp L3	Unwrapped Z	Sigma Z	36 Coherence	Group A1	Group A2	Group A3	Unwrapped Group Z	Group Sigma Z	42 Group Coherence	XY Ellipticity	Z Position	Unwrapped Z Error	XY Group Ellipticity	Group Z Position	Unwrapped Group Z Error
 2.33298E+002	 9.43333E+002	 2.26309E+002	 8.73471E+001	 1.83010E+000	 1.14876E+000	 1.17610E+004	 1.08297E+003	 1.00000E+000	 1.17000E+002	 2.00000E+001	 1.70160E+004	 2.10234E+000	 3.07137E+001	 1.68753E-002	 1.05927E-002	 1.39354E-001	 5.55841E-002	 4.78700E+003	 2.26063E+002	 8.74535E+001	 9.42008E-002	 9.42008E-002	 5.24600E+004	 3.00000E+000	 1.00000E+000	 0.00000E+000	 2.18575E+002	 3.93306E+002	 3.55070E+002	 1.00000E+002	 3.12010E+000	 2.02829E-002	 0.00000E+000	 3.09186E+001	 3.58079E+000	 6.18030E-001	 4.01653E+002	 4.96634E+002	 5.34489E+002	 1.70937E+001	 2.44221E+000	 4.29056E-001	 2.28724E-001	 3.09186E+001	-6.61496E+001	 2.48356E-001	 1.70937E+001	-9.90321E+001
 2.37669E+002	 1.22705E+003	 2.26151E+002	 8.74485E+001	 1.82947E+000	 1.18212E+000	 1.56790E+004	 1.62020E+003	 1.00000E+000	 1.23000E+002	 1.00000E+000	 1.78820E+004	 2.16266E+000	 3.50293E+001	 1.46105E-002	 9.44070E-003	 1.41556E-001	 5.95834E-002	 5.12600E+003	 2.26223E+002	 8.74446E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 1.00000E+000	 0.00000E+000	 2.45934E+002	 4.72520E+002	 5.45185E+002	 1.00000E+002	 4.09198E+000	 2.55108E-002	 0.00000E+000	 1.69759E+001	 2.61472E+000	 7.33038E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.03262E+001	 8.59210E-001	 6.73453E-001	 2.14951E-001	 1.69759E+001	-6.64854E+001	 2.11635E-001	 3.03262E+001	-4.98048E+001
 2.77320E+002	 1.82264E+003	 2.26263E+002	 8.74035E+001	 1.81427E+000	 1.20782E+000	 2.36940E+004	 4.84328E+003	 1.00000E+000	 1.24000E+002	 0.00000E+000	 1.80120E+004	 2.19132E+000	 4.26924E+001	 1.17864E-002	 7.84665E-003	 1.33810E-001	 5.96239E-002	 5.12600E+003	 2.26223E+002	 8.74447E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 2.00000E+000	 0.00000E+000	 4.06410E+002	 7.10681E+002	 7.43435E+002	 1.00000E+002	 6.00974E+000	 3.12273E-002	 0.00000E+000	 2.17316E+001	 2.43207E+000	 6.41086E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.03015E+001	 8.59210E-001	 6.73453E-001	 2.00671E-001	 2.17316E+001	-4.72382E+001	 2.11635E-001	 3.03015E+001	-4.97771E+001
 2.61082E+002	 1.42705E+003	 2.26216E+002	 8.74587E+001	 1.81235E+000	 1.18603E+000	 1.81960E+004	 2.94590E+003	 1.00000E+000	 1.27000E+002	 1.00000E+000	 1.83930E+004	 2.14949E+000	 3.77763E+001	 1.34355E-002	 8.79238E-003	 1.25680E-001	 5.42747E-002	 5.12600E+003	 2.26224E+002	 8.74451E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 5.00000E+000	 0.00000E+000	 3.18343E+002	 5.57323E+002	 5.70696E+002	 1.00000E+002	 4.67097E+000	 2.45851E-002	 0.00000E+000	 2.29198E+001	 2.80475E+000	 6.34351E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.02314E+001	 8.59210E-001	 6.73453E-001	 2.08887E-001	 2.29198E+001	-5.44118E+001	 2.11635E-001	 3.02314E+001	-4.98712E+001
 2.66610E+002	 1.12258E+003	 2.26231E+002	 8.75625E+001	 1.84380E+000	 1.27723E+000	 1.55780E+004	 2.03115E+003	 1.00000E+000	 1.29000E+002	 0.00000E+000	 1.86460E+004	 2.35496E+000	 3.35049E+001	 1.47727E-002	 1.02332E-002	 1.33612E-001	 6.45754E-002	 5.12600E+003	 2.26224E+002	 8.74455E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 7.00000E+000	 0.00000E+000	 2.63330E+002	 5.76466E+002	 3.40201E+002	 1.00000E+002	 3.80520E+000	 4.22333E-002	 0.00000E+000	 5.25196E+001	 2.55140E+000	 7.53664E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.02560E+001	 8.59210E-001	 6.73453E-001	 1.81534E-001	 5.25196E+001	 3.25172E+000	 2.11635E-001	 3.02560E+001	-4.98453E+001
 2.74279E+002	 1.39654E+003	 2.26360E+002	 8.74012E+001	 1.70250E+000	 1.17339E+000	 1.68280E+004	 1.85906E+003	 1.00000E+000	 1.30000E+002	 0.00000E+000	 1.87820E+004	 1.99770E+000	 3.73703E+001	 1.31242E-002	 9.04538E-003	 9.67953E-002	 4.64939E-002	 5.12600E+003	 2.26224E+002	 8.74455E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 8.00000E+000	 0.00000E+000	 3.00144E+002	 6.99295E+002	 4.61635E+002	 1.00000E+002	 4.72064E+000	 2.13086E-002	 0.00000E+000	 4.65071E+001	 2.41166E+000	 7.67149E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.02765E+001	 8.59210E-001	 6.73453E-001	 1.83981E-001	 4.65071E+001	-5.24020E+000	 2.11635E-001	 3.02765E+001	-4.97588E+001
 2.96098E+002	 1.47730E+003	 2.26391E+002	 8.73704E+001	 1.68946E+000	 1.14095E+000	 1.72170E+004	 3.90553E+003	 1.00000E+000	 1.31000E+002	 0.00000E+000	 1.89090E+004	 1.92758E+000	 3.84356E+001	 1.28756E-002	 8.69535E-003	 1.12483E-001	 5.17446E-002	 5.12600E+003	 2.26224E+002	 8.74460E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 9.00000E+000	 0.00000E+000	 2.92132E+002	 6.78758E+002	 5.67573E+002	 1.00000E+002	 4.98061E+000	 4.13353E-002	 0.00000E+000	 3.43936E+001	 2.42354E+000	 7.54713E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.02985E+001	 8.59210E-001	 6.73453E-001	 1.93793E-001	 3.43936E+001	-2.74755E+001	 2.11635E-001	 3.02985E+001	-4.97213E+001
 2.89415E+002	 1.35946E+003	 2.26456E+002	 8.73689E+001	 1.65649E+000	 1.07227E+000	 1.46730E+004	 2.82736E+003	 1.00000E+000	 1.32000E+002	 0.00000E+000	 1.90470E+004	 1.77620E+000	 3.68709E+001	 1.36750E-002	 8.85208E-003	 1.09032E-001	 4.62415E-002	 5.12600E+003	 2.26224E+002	 8.74464E+001	 4.37751E-002	 4.37751E-002	 1.72032E+005	 1.00000E+001	 1.00000E+001	 0.00000E+000	 2.53775E+002	 7.10651E+002	 4.41420E+002	 1.00000E+002	 4.55237E+000	 3.63326E-002	 0.00000E+000	 4.75725E+001	 2.26714E+000	 8.73924E-001	 2.98686E+002	 5.89147E+002	 5.34191E+002	 3.03194E+001	 8.59210E-001	 6.73453E-001	 2.14096E-001	 4.75725E+001	-3.48904E+001	 2.11635E-001	 3.03194E+001	-4.96710E+001
 2.26612E+002	 1.00405E+003	 2.26680E+002	 8.72571E+001	 1.43981E+000	 1.07069E+000	 9.58100E+003	 1.49003E+003	 1.00000E+000	 1.33000E+002	 2.00000E+000	 1.91780E+004	 1.54159E+000	 3.16868E+001	 1.47095E-002	 1.09385E-002	 6.93675E-002	 3.91370E-002	 5.56100E+003	 2.26734E+002	 8.72563E+001	 1.40588E-002	 1.40588E-002	 1.84974E+005	 1.70000E+001	 1.00000E+000	 0.00000E+000	 1.77511E+002	 4.63111E+002	 4.08054E+002	 1.00000E+002	 3.40207E+000	 4.20156E-002	 0.00000E+000	 3.14333E+001	 2.99660E+000	 8.18234E-001	 2.21550E+002	 4.80615E+002	 4.87261E+002	 2.41553E+001	 7.42619E-001	 7.51433E-001	 1.47028E-001	 3.14333E+001	 1.89070E+001	 1.26811E-001	 2.41553E+001	 3.35224E+001
 2.46769E+002	 1.45798E+003	 2.26699E+002	 8.72980E+001	 1.43678E+000	 1.13058E+000	 1.46490E+004	 2.64517E+003	 1.00000E+000	 1.34000E+002	 0.00000E+000	 1.93030E+004	 1.62440E+000	 3.81835E+001	 1.18710E-002	 9.34108E-003	 6.71719E-002	 4.20383E-002	 5.56100E+003	 2.26734E+002	 8.72562E+001	 1.40588E-002	 1.40588E-002	 1.84974E+005	 1.70000E+001	 2.00000E+000	 0.00000E+000	 3.02316E+002	 6.73808E+002	 5.87476E+002	 1.00000E+002	 5.06079E+000	 3.92670E-002	 0.00000E+000	 3.22965E+001	 2.69356E+000	 7.36174E-001	 2.21550E+002	 4.80615E+002	 4.87261E+002	 2.41583E+001	 7.42619E-001	 7.51433E-001	 1.19268E-001	 3.22965E+001	 4.99188E+001	 1.26811E-001	 2.41583E+001	 3.35318E+001
